Product,ASIN,Announced,Size,Resolution,OS,Chipset,Memory,Rear Camera,Front Camera,Weight,Battery,URL
"Huawei Mate 10 Pro Unlocked Phone, 6"" 6GB/128GB, AI Processor, Dual Leica Camera, Water Resistant IP67, GSM Only - Titanium Gray (US Warranty)",B078T3D547,"2017, October","6.0 inches, 92.9 cm2 (~80.9% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 8.0 (Oreo),HiSilicon Kirin 970,"128 GB, 6 GB RAM or 64 GB, 4 GB RAM","12 MP, f/1.6, 27mm, 1/2.9"", 1.25Ã‚Âµm, OIS, PDAF & laser AF
20 MP B/W, f/1.6, 27mm, 2x lossless zoom, OIS, PDAF & laser AF","8 MP, f/2.0, 26mm, 1/3.2"", 1.4Ã‚Âµm, AF",178 g (6.28 oz),4000 mAh,https://www.gsmarena.com/huawei_mate_10_pro-8854.php
"Apple iPhone 6S, GSM Unlocked, 128GB - Space Gray (Certified Refurbished)",B01M0WZ8UV,"2015, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 9, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22Ã‚Âµm, PDAF","5 MP, f/2.2, 31mm",143 g (5.04 oz),1715 mAh,https://www.gsmarena.com/apple_iphone_6s-7242.php
"Apple iPhone 6S, Fully Unlocked, 64GB - Gold (Certified Refurbished)",B06XR8QCQ4,"2015, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 9, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22Ã‚Âµm, PDAF","5 MP, f/2.2, 31mm",143 g (5.04 oz),1715 mAh,https://www.gsmarena.com/apple_iphone_6s-7242.php
BLU Tank II T193 Unlocked GSM Dual-SIM Cell Phone with Camera and 1900 mAh Big Battery - Unlocked Cell Phones - Retail Packaging - White Blue,B00O5EU7PK,,,,,,,,,,,
"Apple iPhone 6 32 GB Unlocked, Space Gray",B071D2F6HH,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 11.4.1",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm, 1/3"", 1.5Ã‚Âµm, PDAF","1.2 MP, f/2.2, 31mm",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
Samsung Galaxy S9+ Unlocked Smartphone - Coral Blue - US Warranty,B079JLWJK1,"2018, February","6.2 inches, 98.3 cm2 (~84.2% screen-to-body ratio)","1440 x 2960 pixels, 18.5:9 ratio (~529 ppi density)",Android 8.0 (Oreo),"Exynos 9810 Octa - EMEAQualcomm SDM845 Snapdragon 845 - USA/LATAM, China","64/128/256 GB, 6 GB RAM - China128 GB, 6 GB RAM - LATAM","12 MP, f/1.5-2.4, 26mm, 1/2.55"", 1.4Ã‚Âµm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm, 1/3.6"", 1Ã‚Âµm, AF, OIS, 2x optical zoom","8 MP, f/1.7, 25mm, 1/3.6"", 1.22Ã‚Âµm, AF",189 g (6.67 oz),3500 mAh,https://www.gsmarena.com/samsung_galaxy_s9+-8967.php#g965u
Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Cell Phone - Space Grey,B00NQGP42Y,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 11.4.1",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm, 1/3"", 1.5Ã‚Âµm, PDAF","1.2 MP, f/2.2, 31mm",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
"Apple iPhone 5S 16GB GSM Unlocked, Silver (Certified Refurbished)",B00YD53YQU,"2013, September","4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","iOS 7, upgradable to iOS 11.4.1",Apple A7,"16/32/64 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm, 1/3"", 1.5Ã‚Âµm, AF","1.2 MP, f/2.4, 31mm",112 g (3.95 oz),1560 mAh,https://www.gsmarena.com/apple_iphone_5s-5685.php
"Apple iPhone SE 64 GB Unlocked, Space Gray (Certified Refurbished)",B01L1BOQSS,"2016, March","4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","iOS 9.3.2, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22Ã‚Âµm, PDAF","1.2 MP, f/2.4, 31mm",113 g (3.99 oz),1624 mAh,https://www.gsmarena.com/apple_iphone_se-7969.php
"Apple iPhone SE 32 GB Unlocked, Space Gray",B071W3DDM7,"2016, March","4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","iOS 9.3.2, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22Ã‚Âµm, PDAF","1.2 MP, f/2.4, 31mm",113 g (3.99 oz),1624 mAh,https://www.gsmarena.com/apple_iphone_se-7969.php
"Apple iPhone SE 32 GB Unlocked, Rose Gold",B07122CNWW,"2016, March","4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","iOS 9.3.2, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22Ã‚Âµm, PDAF","1.2 MP, f/2.4, 31mm",113 g (3.99 oz),1624 mAh,https://www.gsmarena.com/apple_iphone_se-7969.php
"Apple iPhone 6 Plus, GSM Unlocked, 128GB - Space Gray (Certified Refurbished)",B00YD54RH0,"2014, September","5.5 inches, 83.4 cm2 (~67.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","iOS 8, upgradable to iOS 11.4.1",Apple A8,"16/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm, 1/3"", 1.5Ã‚Âµm, OIS, PDAF","1.2 MP, f/2.2, 31mm",172 g (6.07 oz),2915 mAh,https://www.gsmarena.com/apple_iphone_6_plus-6665.php
Apple iPhone 7 a1778 32GB LTE GSM Unlocked (Certified Refurbished),B079HB518K,"2016, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 10.0.1, upgradable to iOS 11.4.1",Apple A10 Fusion,"32/128/256 GB, 2 GB RAM","12 MP, f/1.8, 28mm, 1/3"", OIS, PDAF","7 MP, f/2.2, 32mm",138 g (4.87 oz),1960 mAh,https://www.gsmarena.com/apple_iphone_7-8064.php
Apple iPhone 6 Plus 16GB GSM Unlocked Smartphone - Silver (Certified Refurbished),B00YD54HZ2,"2014, September","5.5 inches, 83.4 cm2 (~67.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","iOS 8, upgradable to iOS 11.4.1",Apple A8,"16/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm, 1/3"", 1.5Ã‚Âµm, OIS, PDAF","1.2 MP, f/2.2, 31mm",172 g (6.07 oz),2915 mAh,https://www.gsmarena.com/apple_iphone_6_plus-6665.php
"Nokia 3310 3G - Unlocked Feature Phone (AT&T/T-Mobile/MetroPCS/Cricket/H2O) - 2.4"" Screen - Warm Red - U.S. Warranty",B075FKZMR2,,,,,,,,,,,
"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)",B01CYYYRNK,"2016, February","5.1 inches, 71.5 cm2 (~72.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~577 ppi density)","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo)",Exynos 8890 Octa,"32/64 GB, 4 GB RAM","12 MP, f/1.7, 26mm, 1/2.55"", 1.4Ã‚Âµm, Dual Pixel PDAF, OIS","5 MP, f/1.7, 22mm, 1/4.1"", 1.34Ã‚Âµm",152 g (5.36 oz),3000 mAh,https://www.gsmarena.com/samsung_galaxy_s7-7821.php#g930f
"DOOGEE X10S, Unlocked Cell Phones - Dual Sim Smartphone with 5.0"" IPS Display - Android 8.1-1GB RAM - 8GB ROM - 2MP+5MP Dual Camera - 3360mAh Battery - 3G Unlocked Phones - Silver",B07DVWBFM8,,,,,,,,,,,
