Rank,Vendor,Product,ASIN,Price,Star Rating,Reviews,Date,Time
34,BLU,"BLU Pure View -32GB +3GB RAM, 5.7” HD+ 18:9 Display Smartphone with Dual Front Selfie Cameras -Black",B078X5MGL7,139.99,3.4,152,2018-10-08,13:01
35,BLU,"BLU Life One X3 – 4G LTE Unlocked Smartphone with 5,000mAh Monster Battery -Black",B0784VB4JX,129.99,3.3,376,2018-10-08,13:01
36,Apple,"Apple iPhone 7 , Fully Unlocked, 128GB - Rose Gold (Certified Refurbished)",B01NCYY6OK,380.99,3.9,74,2018-10-08,13:01
37,BLU,"BLU Grand XL - Unlocked Smartphone -5.5"" Display, 8GB +1GB RAM -Rose Gold",B074ZRWD4C,59.99,2.7,47,2018-10-08,13:01
38,Apple,"Apple iPhone 7 32 GB Unlocked, Rose Gold (Certified Refurbished)",B01N9YOF3R,339.98,3.5,780,2018-10-08,13:01
39,Apple,"Apple iPhone 7 Plus, GSM Unlocked, 128GB - Rose Gold (Certified Refurbished)",B01N5XMF48,493.88,3.8,258,2018-10-08,13:01
40,BLU,BLU Tank II T193 Unlocked GSM Dual-SIM Cell Phone w/ Camera and 1900 mAh Big Battery - Unlocked Cell Phones - Retail Packaging - Black Red,B00O5EU7TQ,20.85,3.5,753,2018-10-08,13:01
41,Apple,"Apple iPhone 6S, Fully Unlocked, 64GB - Rose Gold (Certified Refurbished)",B06XRJQX91,273.98,3.6,265,2018-10-08,13:01
42,Motorola,"Motorola Moto G6 Play Factory Unlocked Phone - 5.7"" Screen - 32GB - Deep Indigo (U.S. Warranty)",B079Z793SM,199.99,4.1,11,2018-10-08,13:01
43,Apple,"Apple iPhone SE 16 GB Factory Unlocked, Space Gray (Certified Refurbished)",B01GXAT0BK,147.5,3.8,1048,2018-10-08,13:01
44,Motorola,Moto X (4th Generation) - with Amazon Alexa hands-free – 32 GB - Unlocked – Super Black - Prime Exclusive,B077YNYFPD,249.99,3.8,285,2018-10-08,13:01
45,Apple,"Apple iPhone 7 , Fully Unlocked, 32GB - Rose Gold (Certified Refurbished)",B0731HBTZ7,329.99,3.4,164,2018-10-08,13:01
46,Honor,"Honor 7X GSM Unlocked Smartphone 5.93” FullView Display, 16MP + 2MP Dual-Lens Camera, Dual SIM, Expandable Storage, Blue (US Warranty)",B078NCL7GJ,199.99,4.2,1020,2018-10-08,13:01
47,Samsung,Samsung Galaxy S7 G930A 32GB Black Onyx - Unlocked GSM (Certified Refurbished),B01F482BTK,229.0,3.3,372,2018-10-08,13:01
48,LG,LG Stylo 4 – 32 GB – Unlocked (AT&T/Sprint/T-Mobile/Verizon) – Aurora Black – Prime Exclusive Phone,B07D3QKRW1,249.99,4.3,109,2018-10-08,13:01
49,Huawei,"Huawei P20 Lite ANE-LX3 32GB + 4GB, 5.84"" Dual SIM LTE Factory Unlocked Smartphone - International Model - No Warranty (Midnight Black)",B07C5B98V7,242.0,4.2,195,2018-10-08,13:01
50,Apple,"Apple iPhone 5S 16GB GSM Unlocked, Silver (Certified Refurbished)",B00YD53YQU,118.98,3.4,4239,2018-10-08,13:01
51,Apple,"Apple iPhone 6 GSM Unlocked, 64 GB - Gold (Certified Refurbished) ",B00YD548Q0,199.99,3.0,1288,2018-10-08,13:01
52,Apple,"Apple iPhone SE 32 GB Unlocked, Space Gray",B071W3DDM7,270.0,4.0,1236,2018-10-08,13:01
